County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
GRIMES,185,1184,393,322,409,445,432,4797,324,150,116,125,94,106,941,1,1,1,5,0,0,18,103,17,18,17,11,18,136,920,335,245,225,222,215,1138
GUADALUPE,187,6651,2521,2047,2381,2739,2959,23924,989,462,456,408,327,443,3417,149,89,73,94,97,107,906,696,201,181,136,119,119,657,7599,2901,2539,2443,2434,2618,13908
HALE,189,683,283,294,252,291,251,2965,124,46,45,42,35,23,281,18,3,5,1,7,4,33,75,20,16,12,18,11,91,2419,871,707,648,607,604,3359
HALL,191,89,28,35,30,18,27,525,22,9,5,4,5,8,69,0,0,0,0,0,0,0,2,2,0,2,0,0,5,122,47,32,31,29,35,224
HAMILTON,193,471,170,152,163,166,172,2132,1,0,0,3,2,2,5,0,2,2,0,0,4,7,6,0,3,4,0,4,28,138,53,34,41,36,32,195
HANSFORD,195,192,94,53,67,77,55,741,1,1,0,1,0,1,2,2,0,2,2,0,1,0,9,0,4,5,3,0,16,337,137,96,94,68,68,409
HARDEMAN,197,132,56,51,51,42,53,692,13,0,0,5,3,5,61,0,0,0,0,0,0,2,12,2,3,4,3,0,20,117,35,35,54,25,40,185
HARDIN,199,4184,1550,1319,1476,1569,1573,13228,307,94,112,89,99,94,743,19,11,5,14,13,14,84,174,42,32,27,24,19,151,447,156,117,106,107,112,536
HARRIS,201,97592,32329,32242,46949,48368,48373,371660,87787,30091,30891,40133,40328,34607,199380,25968,9712,11866,15795,16404,15278,86547,16998,4109,3807,4633,3782,3300,14134,250022,84609,78100,80195,74569,72241,351880
HARRISON,203,3320,1245,1047,1152,1283,1338,12297,1200,548,540,486,478,425,3962,30,20,11,8,7,22,93,247,68,59,30,33,28,236,1653,535,407,321,328,309,1214
HARTLEY,205,229,79,85,104,66,72,852,4,0,3,0,0,0,3,2,2,2,0,0,3,2,11,4,0,0,3,2,8,158,70,38,35,35,20,162
HASKELL,207,187,78,63,80,74,84,1086,10,4,8,7,5,4,36,0,0,0,2,0,0,5,19,4,2,7,3,1,13,136,66,57,59,45,49,305
HAYS,209,9128,4181,8686,4241,4279,4650,33581,486,247,651,303,234,190,1042,235,124,232,234,192,200,946,845,285,478,229,195,183,845,11122,4204,6537,4451,3065,3867,17421
HEMPHILL,211,159,92,47,41,41,56,583,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,1,4,1,0,6,177,73,47,45,23,40,176
HENDERSON,213,4274,1619,1506,1672,1822,1682,20470,417,204,197,186,162,155,1459,28,15,6,11,7,15,119,302,67,63,45,36,41,374,1476,511,455,413,333,347,1795
HIDALGO,215,3129,1156,938,1206,1132,1047,17602,340,102,100,103,90,71,344,637,327,364,284,302,317,2615,336,93,83,110,73,71,430,103790,35138,33092,30573,25004,25025,156530
HILL,217,1720,674,578,550,704,710,7652,210,98,81,61,72,52,570,12,1,7,10,11,5,37,118,35,34,23,21,13,156,1087,401,329,263,284,249,1230
HOCKLEY,219,635,316,286,246,286,263,2688,81,51,70,24,17,18,161,2,1,6,2,0,3,13,30,15,11,8,6,4,54,1313,484,451,346,366,391,1869
HOOD,221,3532,1306,1104,1293,1325,1457,17248,34,10,8,13,10,11,50,24,10,9,11,10,14,118,108,43,30,26,24,26,234,1159,391,322,310,281,283,1384
HOPKINS,223,2033,798,631,758,826,805,7935,234,81,83,96,61,71,717,17,7,2,5,8,6,62,161,54,36,30,13,16,136,915,321,257,267,224,168,875
HOUSTON,225,813,329,258,307,274,323,4181,410,134,123,127,151,130,1270,11,4,5,9,10,4,18,71,24,19,17,5,8,83,346,95,84,87,64,47,336
HOWARD,227,1079,348,348,457,541,501,3943,106,48,51,48,45,41,237,12,7,9,9,7,8,42,76,18,21,21,11,17,94,1539,493,455,480,517,482,2346
HUDSPETH,229,35,9,10,15,13,28,158,2,1,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,1,2,1,2,202,73,72,117,88,92,483
HUNT,231,5235,2139,2141,2114,2228,2068,20461,821,416,478,339,341,279,2039,71,46,101,86,41,32,250,441,104,111,96,118,57,452,2484,868,803,648,519,551,2571
HUTCHINSON,233,1123,406,339,384,371,420,3807,46,17,21,12,13,10,133,10,5,1,3,3,2,28,114,31,27,21,17,18,181,641,260,205,165,159,162,781
IRION,235,104,29,18,41,20,43,291,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,4,42,17,8,11,11,8,106
JACK,237,480,161,145,162,169,181,1698,9,2,3,5,1,4,15,0,0,0,0,0,3,6,17,5,4,3,2,2,20,194,73,54,48,36,35,234
JACKSON,239,640,234,191,209,232,256,2490,122,32,33,38,27,27,246,4,1,4,4,5,5,14,41,6,2,7,6,1,42,755,226,193,158,155,172,901
JASPER,241,1887,641,522,628,664,642,6999,513,197,148,196,132,162,1352,15,2,7,6,3,7,70,141,53,36,28,18,16,136,349,104,95,88,57,60,338
JEFF DAVIS,243,8,16,13,19,18,25,457,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,14,20,10,16,20,26,29,269
JEFFERSON,245,6634,2225,2770,2829,2809,2932,28455,8055,2720,3229,3136,2795,2523,19512,792,331,408,475,432,440,2334,942,266,242,180,138,92,632,7229,1993,1952,1869,1665,1604,7535
JIM HOGG,247,32,7,6,3,7,4,91,0,0,0,0,0,0,0,5,0,0,0,0,2,6,1,2,4,5,1,1,5,521,167,128,107,119,120,962
JIM WELLS,249,494,179,145,194,141,186,1864,16,4,6,2,3,3,19,5,1,5,3,18,20,29,38,5,12,7,6,4,50,3511,1072,973,1016,963,981,6967
JOHNSON,251,10675,4128,3420,3880,4304,4322,36105,551,229,200,156,188,205,1218,99,33,25,31,64,65,277,865,276,228,182,163,127,774,5666,1992,1657,1555,1453,1421,6421
JONES,253,762,277,199,250,280,280,2950,30,21,16,9,9,10,138,4,3,3,4,0,2,13,59,10,9,6,10,8,65,468,188,132,112,107,125,743
KARNES,255,307,132,125,126,119,115,1471,17,8,6,6,2,7,48,1,0,0,2,1,0,9,24,9,8,3,7,4,27,837,272,265,237,279,245,1383
KAUFMAN,257,8606,3093,2411,2947,3460,3614,26378,1885,674,492,555,702,798,3617,127,57,35,57,69,75,333,626,183,120,139,89,91,474,4973,1732,1243,1389,1392,1435,4787
KENDALL,259,2330,1173,800,756,701,910,10427,23,6,6,3,1,8,29,13,10,5,5,8,13,72,75,38,24,16,10,15,126,1364,523,355,347,397,498,2451
KENEDY,261,5,2,4,1,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,13,10,5,9,6,73
KENT,263,52,16,10,17,15,22,181,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,10,6,5,0,2,0,32
KERR,265,1873,801,804,748,840,784,12653,54,27,28,22,26,6,164,36,13,12,27,25,19,127,91,29,41,29,21,21,257,1795,653,615,618,527,553,3095
KIMBLE,267,171,53,57,62,59,59,1017,2,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0,1,0,11,140,54,49,47,30,31,296
KING,269,22,14,5,5,1,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,7
KINNEY,271,59,19,13,15,10,17,383,1,0,1,0,0,1,5,0,0,0,0,0,0,0,5,5,3,3,0,0,10,174,56,52,51,38,54,417
KLEBERG,273,396,126,297,270,159,137,1360,87,24,116,45,21,23,156,20,35,68,42,7,15,95,56,8,51,17,7,9,45,2254,932,1819,999,566,644,4060
KNOX,275,141,50,38,49,43,52,586,9,6,7,4,2,7,65,0,0,0,0,0,0,2,10,1,0,0,2,0,4,173,61,32,40,40,45,210
LA SALLE,283,52,12,10,19,23,21,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,4,428,141,177,163,157,160,1095
LAMAR,277,2777,992,968,1078,1152,1017,10771,609,224,225,231,237,197,1623,25,14,15,14,10,9,101,436,99,80,96,79,60,386,677,218,192,152,132,114,527
